States/UTs,District,Year,Murder,Rape,Kidnapping,Dacoity,Burglary,Theft,Riots,Forgery,Counterfeiting,Arson,Acid attack,Dowry Deaths,Stalking,Total_Crimes
Andhra Pradesh,Anantapur,2014,134,134,134,134,134,134,134,134,134,134,12,24,436,1812
Andhra Pradesh,Chittoor,2014,84,32,0,3,195,41,336,134,7,0,23,18,135,1008
Andhra Pradesh,Cuddapah,2014,80,28,4,16,144,0,445,0,86,0,0,39,215,1057
Andhra Pradesh,East Godavari,2014,64,85,18,66,346,51,556,27,96,0,50,43,519,1921
Andhra Pradesh,Guntakal Railway,2014,14,0,0,0,0,0,413,1,0,0,0,0,0,428
Andhra Pradesh,Guntur,2014,105,49,24,50,210,55,511,72,22,4,52,37,245,1436
Andhra Pradesh,Guntur Urban,2014,51,40,8,84,173,52,678,8,23,2,35,29,160,1343
Andhra Pradesh,Krishna,2014,51,80,20,2,302,55,380,9,24,0,23,39,354,1339
Andhra Pradesh,Kurnool,2014,118,32,4,32,244,74,554,94,20,0,33,9,403,1617
Andhra Pradesh,Nellore,2014,78,58,16,16,381,58,696,74,255,0,45,28,295,2000
Andhra Pradesh,Prakasham,2014,75,50,8,22,247,52,408,120,98,0,28,18,197,1323
Andhra Pradesh,Rajahmundry,2014,18,35,3,7,214,19,206,12,56,0,13,23,121,727
Andhra Pradesh,Srikakulam,2014,30,40,3,1,152,21,184,7,12,0,18,66,214,748
Andhra Pradesh,Tirupathi Urban,2014,35,18,5,12,227,49,666,31,11,2,11,3,60,1130
Andhra Pradesh,Vijayawada City,2014,23,64,4,16,345,239,1331,2,68,0,21,25,279,2417
Andhra Pradesh,Vijayawada Railway,2014,1,0,0,0,0,0,1082,0,1,0,0,0,8,1092
Andhra Pradesh,Visakha Rural,2014,43,38,0,4,88,0,122,7,6,0,23,33,129,493
Andhra Pradesh,Visakhapatnam,2014,38,84,0,0,392,58,957,0,71,0,14,63,147,1824
Andhra Pradesh,Vizianagaram,2014,43,47,1,27,176,176,296,13,14,0,13,41,225,1072
Andhra Pradesh,West Godavari,2014,90,146,46,30,468,109,743,19,52,4,36,51,405,2199
Andhra Pradesh,Total,2014,1175,961,165,425,4719,1209,11077,844,935,12,450,589,4547,27108
Arunachal Pradesh,Anjaw,2014,0,0,0,0,6,0,2,1,1,0,0,2,1,13
Arunachal Pradesh,Changlang,2014,9,6,0,5,18,0,46,1,1,0,1,15,0,102
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Arunachal Pradesh,Dibang Valley,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,Kameng East,2014,4,1,0,6,8,8,18,0,0,0,2,18,6,71
Arunachal Pradesh,Kameng West,2014,7,0,1,3,4,0,11,0,3,0,5,8,9,51
Arunachal Pradesh,Kukung Kumey,2014,4,3,0,2,5,0,4,0,1,0,1,10,1,31
Arunachal Pradesh,Lohit,2014,10,7,0,25,32,0,33,3,2,0,2,16,13,143
Arunachal Pradesh,Longding,2014,4,3,0,0,9,0,4,0,0,0,0,13,3,36
Arunachal Pradesh,Lower Dibang Valley,2014,2,3,0,0,10,0,21,0,0,0,0,10,0,46
Arunachal Pradesh,Papum Pare City,2014,13,32,2,14,36,20,49,2,8,0,3,42,26,247
Arunachal Pradesh,Papum Pare Rural,2014,7,0,0,0,6,0,14,2,2,0,0,9,4,44
Arunachal Pradesh,Siang East,2014,5,11,3,2,20,0,37,0,2,0,9,23,21,133
Arunachal Pradesh,Siang Upper,2014,1,1,0,0,8,0,6,0,1,0,1,2,1,21
Arunachal Pradesh,Siang West,2014,10,6,3,1,18,0,25,2,7,0,2,30,11,115
Arunachal Pradesh,Subansiri Lower,2014,4,1,0,7,22,0,14,3,0,0,6,22,6,85
Arunachal Pradesh,Subansiri Upper,2014,3,5,1,0,11,0,31,1,3,0,7,19,16,97
